rage
Ep2-01 (2:44:47) Zombie-like creatures
Ep2-10 (2:19:58) Phase Spider
Ep2-15 (1:52:03) Will-o’-Wisps
Ep2-15 (2:46:20) Gelatinous Cube
Ep2-16 (0:20:47) Siff Duthar
Ep2-17 (0:50:10) Titan’s Grasp
Ep2-17 (1:34:39) Arm Wrestling
Ep2-17 (3:01:00) Otyugh
Ep2-19 (2:43:03) Forest Battle
Ep2-20 (1:47:55) Crocodile Battle
Ep2-21 (2:01:05) Troll
Ep2-21 (3:29:21) Merrow
Ep2-22 (1:09:57) Merrow
Ep2-25 (1:46:24) Gear Keeper
Ep2-34 (2:17:13) Water Elementals
"Ep2-34 (3:14:06) Marid, Water Elemental, Algar, and Guards"
*Ep2-35 (2:06:11) Crew of The Mist
*Ep2-36 (3:16:16) Harpies
*Ep2-38 (1:30:04) Kamadans
*Ep2-39 (0:18:14) Yuan-ti Purebloods and Mind Whisperer
*Ep2-39 (1:55:56) Assassin Vines
*Ep2-39 (3:32:00) Yuan-ti Abomination and Hydra
*Ep2-40 (1:07:15) Yuan-ti Pit Master and Broodguards
*Ep2-40 (1:43:20) Jungle Running
*Ep2-41 (1:27:36) Ship Hold Guard
*Ep2-43 (0:28:00) Squalleater
*Ep2-44 (0:50:48) Merrow R1
*Ep2-44 (2:54:30) Dashilla R1
*Ep2-44 (3:25:49) Dashilla R3
Ep2-46 (1:42:37) Lightning Creature
Ep2-46 (3:15:35) Sea Spawn
*Ep2-47 (0:27:27) Chuul and Deep Scion
*Ep2-48 (3:25:49) Open the locked basement door
*Ep2-50 (1:06:27) Ropers
*Ep2-51 (1:46:41) Kryn and Gnolls
*Ep2-52 (2:14:55) Shoosuvas and Rat Swarms
*Ep2-54 (3:11:58) Incubus and Succubus
*Ep2-55 (0:34:08) Quasits
"*Ep2-55 (1:09:24) Incubus, Succubus, and Quasits"
"*Ep2-55 (2:49:22) Fiendish Minotaur, Incubus, and Succubus"
Ep2-59 (0:22:19) Stone Giants
Ep2-59 (3:07:26) Babaus
Ep2-60 (0:35:08) Dybbuk Battle 1
Ep2-60 (1:09:41) Chasme and Dybbuk Battle 2
Ep2-60 (2:50:11) Dybbuk Battle 3
Ep2-63 (2:44:58) Overcrow Battle
Ep2-64 (2:02:55) The Lost and Swarm of Bats
Ep2-64 (2:26:15) The Lost and Swarm of Bats
Ep2-65 (1:14:02) Gloomstalkers
Ep2-67 (0:54:16) Giant Spiders
Ep2-67 (3:19:00) Zombie Horde
Ep2-68 (2:52:05) Doppelgangers
Ep2-69 (1:15:43) Obann
*Ep2-79 (3:51:55) Wraithroot
"Ep2-86 (1:38:00) Cardinal Respa, Laughing Hand, Demons, Cultists"
"Ep2-86 (4:21:05) Obann, Caedogeist"
Ep2-93 (1:11:39) Gorefeather Harpies
Ep2-94 (0:32:52) Husk Zombies
Ep2-95 (2:30:12) Silverfish
Ep2-96 (0:23:09) Gorgon
Ep2-98 (3:32:42) Sea Spawn and Deep Scions
